level;character;pinyin
hsk2;件;jiàn
hsk2;健康;jiànkāng
hsk2;讲;jiǎng
hsk2;讲话;jiǎng huà
hsk2;交;jiāo
hsk2;交给;jiāo gěi
hsk2;交朋友;jiāo péng yǒu
hsk2;交通;jiāotōng
hsk2;角;jiǎo
hsk2;角度;jiǎodù
hsk2;饺子;jiǎozi
hsk2;脚;jiǎo
hsk2;叫作;jiào zuò
hsk2;教师;jiào shī
hsk2;教室;jiàoshì
hsk2;教学;jiào xué
hsk2;教育;jiàoyù
hsk2;接;jiē
hsk2;接到;jiē dào
hsk2;接受;jiēshòu
hsk2;接下来;jiē xià lái
hsk2;接着;jiēzhe
hsk2;街;jiē
hsk2;节;jié
hsk2;节目;jiémù
hsk2;节日;jiérì
hsk2;结果;jiéguǒ
hsk2;借;jiè
hsk2;斤;jīn
hsk2;今后;jīn hòu
hsk2;进入;jìn rù
hsk2;进行;jìnxíng
hsk2;近;jìn
hsk2;经常;jīngcháng
hsk2;经过;jīngguò
hsk2;经理;jīnglǐ
hsk2;酒;jiǔ
hsk2;酒店;jiǔ diàn
hsk2;就要;jiù yào
hsk2;举;jǔ
hsk2;举手;jǔ shǒu
hsk2;举行;jǔxíng
hsk2;句;jù
hsk2;句子;jùzi
hsk2;卡;kǎ
hsk2;开机;kāi jī
hsk2;开心;kāixīn
hsk2;开学;kāi xué
hsk2;看法;kànfǎ
hsk2;考生;kǎo shēng
hsk2;靠;kào
hsk2;科;kē
hsk2;科学;kēxué
hsk2;可爱;kě’ài
hsk2;可能;kěnéng
hsk2;可怕;kěpà
hsk2;可是;kěshì
hsk2;可以;kěyǐ
hsk2;克;kè
hsk2;刻;kè
hsk2;客人;kèrén
hsk2;课堂;kè táng
hsk2;空气;kōngqì
hsk2;哭;kū
hsk2;快餐;kuài cān
hsk2;快点儿;kuài diǎnr
hsk2;快乐;kuàilè
hsk2;快要;kuài yào
hsk2;筷子;kuàizi
hsk2;拉;lā
hsk2;来自;láizì
hsk2;蓝;lán
hsk2;蓝色;lán sè
hsk2;篮球;lán qiú
hsk2;老;lǎo
hsk2;老;lǎo （ lǎo wáng ）
hsk2;老年;lǎo nián
hsk2;老朋友;lǎo péng yǒu
hsk2;老是;lǎo shì
hsk2;离;lí
hsk2;离开;líkāi
hsk2;礼物;lǐwù
hsk2;里头;lǐ tou
hsk2;理想;lǐxiǎng
hsk2;例如;lìrú
hsk2;例子;lì zi
hsk2;脸;liǎn
hsk2;练;liàn
hsk2;练习;liànxí
hsk2;凉;liáng
hsk2;凉快;liángkuai
hsk2;两;liǎng
hsk2;亮;liàng
hsk2;辆;liàng
hsk2;零下;líng xià
hsk2;留;liú
hsk2;留下;liú xià
hsk2;留学生;liú xué shēng
hsk2;流;liú
hsk2;流利;liúlì
hsk2;流行;liúxíng
hsk2;路边;lù biān
hsk2;旅客;lǚ kè
hsk2;旅行;lǚxíng
hsk2;旅游;lǚyóu
hsk2;绿;lǜ
hsk2;绿色;lǜ sè
hsk2;卖;mài
hsk2;满;mǎn
hsk2;满意;mǎnyì
